Title,Name,Review Date,Airline,Verified,Reviews,Type of Traveller,Month Flown,Route,Class,Seat Comfort,Staff Service,Food & Beverages,Inflight Entertainment,Value For Money,Overall Rating,Recommended
magnitude of change inexcusable,R Chungtar,2016-12-31,Singapore Airlines,False,"  New York to Chiang Mai return via Singapore booked for March 2017. Days after making the reservation well in advance (through Orbitz), I was notified of a minor change in schedule. No problem. A couple of days later I received another change, this one a 22 hour flight delay requiring almost a full extra day of travel spent in Singapore. Singapore Airlines policy gave me these choices: Accept the change (ridiculous), or provide them with 3 alternatives in order of preference. They then choose which one you will fly. The passenger cannot choose and have that choice confirmed. Or cancel the ticket (full refund) and start over. In this case, no other same-day flight Singapore to Chiang Mai was available, so the alternatives reduced to an extra connecting flight through Bangkok, losing 2 hours, or extra connecting flight through Bangkok, losing 4 hours, or connection through Hong Kong and losing approximately 15 hours in transit. But if you say okay to these choices ""you could end up with any one of them"", and all are inferior to the original reservation. I cancelled, and will not be booking this airline again. This magnitude of change is inexcusable and the subsequent policy absurd.",Solo Leisure,December 2016,SIN to AKL,Economy Class,5,4,5,5,1,1,no
staff were unfriendly,Eileen Tan,2016-12-30,Singapore Airlines,False," Singapore to Auckland with Singapore Airlines. This was one of the worst flights I have ever flown. The Premium Economy area was terrible. Firstly, no toilets specifically for Premium Economy. We had to use Economy Class. The seats were ok but, when the person in front reclined their seats, we could not move. My husband's seat in fact was broken. The service was terrible - the worst I have experienced in 45 years of travelling. The food was awful and service was too rushed. The staff were unfriendly.  We will not be flying Singapore Airlines again.",Couple Leisure,December 2016,HND to CGK via SIN,Premium Economy,5,5,4,4,1,1,no
cost cutting in economy class meals,Steve Siauw,2016-12-30,Singapore Airlines,False,"  Tokyo to Jakarta via Singapore. Exceptional, but not in a good way. Missed connecting flight to Jakarta due to afternoon typhoon in Singapore. Plane from Tokyo landed in Batam, Indonesia instead, flew back to Singapore in three hours. Same issue happened once due to technical problem, but apparently SIA always tries their best not to compensate me with business class seats, even though I missed my flight because of their problems and I have been their gold member for 4 years now. I was compensated only with another economy class seat and SGD 15 meal voucher that I can only redeem at limited number of food outlets at Changi airport, and most of them are too random (food not looking good at all). They have been also been doing this cost cutting in the economy class meals by not giving appetizers anymore. FAs never happy when I order some special drinks even though they are on the menu. If SIA wants to do some cost cutting or what not, they should have made it less obvious, especially to loyal customers, otherwise loyal customers will look for other cost-effective Star Alliance carriers. Their ticket price for the same route is a lot more expensive compared to some other Star Alliance such as ANA and Asiana Airlines.",Solo Leisure,December 2016,SIN to SGN,Economy Class,2,5,4,4,3,6,no
very impressive performance,Robert Hamilton,2016-12-27,Singapore Airlines,True,"  First time I've flown with Singapore Airlines and they didn't let us down. Flew from Sydney to Colombo via Singapore. Although we were in economy the aircraft was clean, ground crew and cabin crew were friendly and attentive throughout and food and entertainment were fine. The seat on the return leg on the upper deck of the A380 was so comfortable I had to be woken for breakfast. It was on the return leg that this airline really impressed me. At Singapore there was a technical problem with the A380 slotted to fly us back to Sydney. We were advised immediately and reallocated to another gate where within an hour, the entire passenger list was boarded onto another A380 and we departed 1 hour late. Who has a 'spare' A380 with flight crew ready to go with passengers boarded in 60 minutes? They also made up the time and landed us in Sydney ahead of schedule by about 5 minutes. This is a very impressive performance and one that some other airlines might seek to emulate. We flew Air New Zealand to San Francisco in May and a technical fault in Sydney saw us trapped in the airport for 8 hours, miss our connection in Auckland and lose a day out of our trip. No-one should be blamed for technical problems but the rude and unprofessional manner in which ground staff at Sydney airport managed passenger enquiries was unparalleled in my 44 years of flying. We will never fly with Air New Zealand again. We will fly with Singapore Air.",Business,November 2016,AKL to SIN,Economy Class,4,5,5,3,5,10,yes
a great way to fly,Eugene Tan,2016-12-20,Singapore Airlines,True," Auckland to Singapore. Singapore Airlines Business Class is the best you can fly. The food selection is extensive and delicious. There are many beverages to choose from, good selection of wine. The cabin crew are attentive, and they feed you well. The seat can be transformed into a bed that is comfortable to sleep during the long flight. There is a wide selection of movies that I had to make the tough choice of sleeping 40,000 feet in the air or watching the very nice movies with noise-cancelling headphones. I enjoyed my flight thoroughly and would love to fly with Singapore Airlines again. Certainly a great way to fly.",Couple Leisure,December 2016,LHR to SIN,Business Class,4,5,3,5,5,10,yes
worst ever experience flying,Molly Watt,2016-12-19,Singapore Airlines,True,"  I flew from Heathrow to Singapore then Denpasar to Singapore to Heathrow. My outward flight was appalling. I am a deafblind traveller, the airline was advised of my condition and requirements by both my travel agent and my mother. On boarding the aircraft with my cane I was told where my seat was, and nothing else. I had no access to safety instructions or menus. No access to entertainment system, no knowledge of where toilets were and no access to help button. I did not know how my chair worked. I was completely ignored on the outbound flight. A complaint was made and I was advised my return flight I would be made comfortable, that I would have my needs taken into account. This was not the case, again the seating was not appropriate even though promised. Singapore Airlines did not fulfill their commitment to make ""reasonable adjustments"" to ensure my safety or comfort onboard their aircrafts. I could not see or hear as both main flights were night flights. I could not use the toilets as I wasn't told where they are. The crew outbound had no concern for my safety or comfort. I was denied access to all inflight entertainment and felt unable to leave my seat for 13 hours. This is totally unacceptable. Singapore Airlines have acknowledged their errors but not offered appropriate compensation - an absolute disgrace. My worst ever experience flying.",Solo Leisure,December 2016,SIN to SFO,Premium Economy,5,4,2,1,1,1,no
attendants stayed in the galley,John Hanson,2016-12-13,Singapore Airlines,False,"  Trip not up to Singapore Airlines standards, behind me and my wife there was a couple with a child sitting the seats with them. Three people in two seats! The child was very noisy the whole 15 hour flight. We told the flight attendant several times that they had to do something. Nothing was ever done. The flight attendants just stayed back in the galley and had a five hour rest in the middle of the flight. Not much attention paid to anyone. ",Business,December 2016,SIN to HKG,Business Class,5,4,5,4,2,6,yes
too plastic and fake smiles,Natalie Tan,2016-12-13,Singapore Airlines,False," Singapore to Hong Kong. Outbound leg on Singapore Airlines A380, stuck in the dreaded middle seat which was awful. Attendants were unfriendly and telling me to check in 10 minutes earlier online to get an exit row seat despite me having said I was on the website and it didn't allow me 48 hours beforehand. Only 1 friendly member of staff during the trip. Fish pasta for special meal was a let down - overcooked and too many bones. Inbound, service was a little better. Standard and expected for the price of ticket I paid but a little too plastic and fake smiles.",Solo Leisure,December 2016,LAX to BKK via NRT / SIN,Economy Class,4,5,5,5,3,5,no
experiences were average,J Nedarong,2016-12-05,Singapore Airlines,True,"  Los Angeles to Bangkok via Tokyo / Singapore. This is my first time for Singapore Airline, on 3 Legs the experiences were average. Los Angeles to Tokyo Narita the cabin was great, IFE was ok, crew was not so nice. Narita to Singapore the cabin was  clean, seat was comfortable, IFE was nice. Only thing that made me surprise was cabin crew because that were not nice, no smile. Singapore to Bangkok the cabin was good , Seat was comfort but look little bit old, crew was average no smile at all.",Solo Leisure,November 2016,MEL to AMS via SIN,Economy Class,5,5,3,2,4,7,yes
"friendly, attentive and active",Matt Rochman,2016-12-04,Singapore Airlines,True,"  Melbourne to Amsterdam via Singapore. Legroom is comparable with other good economy class airlines, but they are wider which makes a difference. They are comfortable, everything works - meals, drink service, food service, punctuality. Singapore Airlines can make a reasonably good economy experience by being friendly, attentive and active when serving customers. Even the food was good for economy, while maintaining simplicity. It was 24 hours from Melbourne to Amsterdam and I don't feel tired or washed out on arrival - had a good sleep on both legs. It's worth that little extra expense and Singapore Airport is the best to kill time in. The business class looked fabulous, but their premium economy didn't seem that impressive as I walked past it.",Solo Leisure,December 2016,FRA to SIN,Economy Class,1,5,4,3,4,9,yes
5 stars from us,Ingo Reisch,2016-11-29,Singapore Airlines,False,"  Frankfurt to Singapore in First class. One of the best flights we ever took with total attention to detail. Singapore Airlines suite arrangement is amazing with a full bed being assembled when it was time to rest. The entire flight was silky smooth and departed on time as well as arrived on time. The crew was just the best with the female Chief Steward running a great team. Krug champagne was a nice touch along with very useful inflight cosmetic bags. The Entertainment monitor is huge. 5 stars from us for this flight.
",Business,November 2016,MXP to SIN,First Class,4,1,4,4,3,10,yes
seat was very comfortable,Paolo Guidali,2016-11-28,Singapore Airlines,True,"  I flew Milan to Singapore return in business class. Seat was very comfortable, on return flight I think I slept almost 10 hours after having dinner at the Singapore lounge. Service very good. When arrived in Singapore  I found my luggage broken. They collected it from my hotel the morning after, and in 24 hours the luggage was repaired and back to my room.",Business,November 2016,BKK to SIN,Business Class,4,4,5,5,5,10,yes
cabin crew not that nice,Taufiq Suryana,2016-11-18,Singapore Airlines,False," Bangkok to Singapore. My first time flying with Singapore Airlines - check in on-time and no queue at all. The ground service I was satisfied with. The aircraft was nice and the seat very comfortable. The inflight entertaiment was not that good and the earphones were also poor. The food is standard, but compared to Garuda or Emirates it is not as good. The cabin crew not that nice - no smile, just a straight face.",Solo Leisure,November 2016,NRT to SIN,Economy Class,4,5,2,4,3,7,yes
IFE screen is really bad,W Lee,2016-11-18,Singapore Airlines,False,"  Tokyo Narita to Singapore. Excellent inflight service. Food is good. Beverage selection is good and I love their cocktail, especially the Bailey White Russian. The aircraft seem a bit old and the IFE screen is really bad, really dark and difficult to watch to movie, earphone provided is also uncomfortable and sound quality is really bad.",Couple Leisure,November 2016,SIN to CGK,Economy Class,4,5,2,4,4,8,yes
service is also really good,W Lee,2016-11-17,Singapore Airlines,False,"  Singapore to Jakarta. The aircraft was new, the food is excellent. Cabin staff service is also really good, even though one of the stewardess seem a bit grumpy (maybe due to the hectic of serving meal in such a short flight). The inflight entertainment is really excellent. High quality screen, latest tech. I wish I had this in my previous longer flight to/from Singapore / Tokyo.",Couple Leisure,November 2016,BKK to SIN,Economy Class,5,4,3,4,5,9,yes
excellent cabin crew,C Peck,2016-11-17,Singapore Airlines,False,Bangkok to Singapore. The flight was quite full but this didn't stop excellent cabin crew from providing a top notch service. The cabin was clean and fresh. There were two meal options offered and food was good. The food for the flight from Bangkok leg seems better than the food out of Singapore. Very good selection of entertainment on Krisworld.,Business,October 2016,MEL to SIN,Economy Class,5,3,5,4,4,9,yes
high standard of service,Jinwei Zuo,2016-11-15,Singapore Airlines,False,"  Flew Singapore Airlines from Melbourne to Singapore. Departure airport was quiet that day due to industry-wide strike. Anticipating delay and congestion, somehow I checked-in and cleared custom in a breeze, which was quite a surprise. Orderly boarding accompanied by cabin crews repeated welcomes, no one has rushed and despite the rear cabin being full, it remained quiet throughout the journey. I had prepaid extra for the Preferred Seat 48A on-board the new A350 with almost unlimited leg room - there's no seat in-front, thus moving in or out of the seat without disturbing fellow passengers alone was worth paying extra for. However, the seat does come with its own design flaws. Once the PTV is pulled up, it physically creates a wall in between 48A and 48B, not only reducing 48B's already limited personal space, it also made plugging in USB charger an additional hassle. Furthermore, reduced seat width and immovable armrest are just another two trade-offs if extra leg room is preferred. Nevertheless, the amount of seat recline did appear adequately generous. The flight took about 7 hours, there were two meals served - one dinner and another light meal. The size and taste of its meals have noticeably deteriorated over the years, e.g., the size of the tray has been reduced significantly, just to name one. I found the IFE content rich and diverse, especially the music library - I enjoy listening to music while watching the moving-maps. I didn't use the WiFi, thus unable to comment. The flight attendants patrolled the cabin two to three times between meals with professional manner and meticulous grooming. All in all, this flight demonstrated Singapore Airlines high standard of service.",Solo Leisure,September 2016,SIN to BNE,Economy Class,5,5,1,5,5,8,yes
use such old dated cabin,D Fernando,2016-11-15,Singapore Airlines,True,"  Singapore to Brisbane. I am a star alliance gold member for the last 4 years and regular traveler on this sector. Recently Singapore Airlines has decided to replace the regular A330 service with an older much worse Boeing 777-200ER service. I am surprised they would use such old dated cabin in this aircraft, my main concern is the poor qaulity entertainment screen, also the poor meal service now converted to a brunch and every poor standard, better meal served on budget airlines. There was no drinks service before the meals. I hope they review this and revert back to regular A330 service.",Solo Leisure,November 2016,AMS to MEL via SIN,Economy Class,4,3,4,5,2,4,no
the PTV really let me down,A Freeman,2016-11-10,Singapore Airlines,False,"  Istanbul to Sydney via Singapore. First time I had flown Singapore Airlines in over 25 years and I had very high expectations. First impression was that the interior looked clean but slightly dated. The seats were comfortable but the armrests didn't come all the way up - which was annoying. Had 3 seats to myself on one flight but couldn't stretch/sleep due to the arms rests. Legroom was above average at 32 inches and much appreciated. The individual TV was very old and screen quality was poor. The cheap headphones meant that the sound was fuzzy and after 30 mins I gave up. This was the case on all 4 long haul flights. Very disappointing. Selection was average. Compared to Emirates or Turkish Airlines it was remarkably bad. Even the moving map was ancient. Needs massive improvement. Service was excellent through the flight. Crew very polite and proactive. Food / drinks were generally good. Asian dishes were excellent and they gave me a second hot meal on request. Icecream for dessert was fun. Snacks were also provided as were drinks between meals. Steel cutlery was appreciated. Hot towel service is excellent. Toilets were always kept clean with nice amenities. They were also larger than on other airlines. All in all, I was really looking forward to a 5 Star experience but the PTV really let me down. Ruined the flight given I had over 38 hours flying time on this trip and had been really looking forward to seeing some movies / tv etc. With the new economy seats, Singapore Airlines will be a 5 star product but without them they are barely 3.5.",Solo Leisure,November 2016,DEL to SIN,Economy Class,4,5,5,4,3,6,yes
flying economy is a delight,Savi Mull,2016-11-10,Singapore Airlines,True,"  Delhi to Singapore on the day flight with the A330 and return on the A380. With two rounds of drink service and a meal service, cabin attendants were very attentive and thoughtful. The seat on the A380 upper deck is much better than the seat on the A330. Flying economy with them is a delight. Cabin presence is great. IFE in want of more movies. WiFI was available on the A380. Extremely clean cabin and highly recommended. Singapore Airlines is my favourite airline.",Solo Leisure,October 2016,MNL to SGN via SIN,Economy Class,5,5,5,1,5,9,yes
staff efficient and effective,G Dannila,2016-11-06,Singapore Airlines,False,"  My friends and I flew Singapore Airlines from Manila to Ho Chi Minh City via Singapore last week for a holiday. From updating a companion's passport details through their reservations line in Manila to the orderly boarding procedure, one gets a sense of the quality. The meals, particularly the pork pasta dish served on the Ho Chi Minh City to Singapore sector, were divine. The frequent drinks run was very highly appreciated. The cabin staff were efficient and effective, particularly with regard to safety, with polite but firm requests to stow bags and trays when necessary.  The Boeing 777-200 is on the senior side with a minute screen but the A330-300 on the SIN-SGN vv. route is another story. ",Solo Leisure,November 2016,LHR to AKL via SIN,Economy Class,5,3,2,4,5,10,yes
on time and crews very good,Colin Pay,2016-11-03,Singapore Airlines,False,"  My wife and I flew London to Auckland via Singapore with Singapore Airlines, both legs on an Airbus A380. The airline has 3 configurations on these aircraft, we booked on the flights with some economy seats on the upper deck, we had row exit row side seats which gave a vast amount of leg room. Both flights on time and crews very good.",Couple Leisure,November 2016,SYD to CCU via SIN,Economy Class,1,4,3,3,5,10,yes
marginally superior to Economy,Antony Champion,2016-10-24,Singapore Airlines,True,"  In September / October 2016 I flew with my wife around the world using in sequence Virgin Atlantic, Air NZ and Singapore Airlines. All in Premium Economy. The principal airline booked was Air NZ and their service in Premium Economy was excellent. Unfortunately our flights from Auckland to London via Singapore were very poor. The standard of Singapore Airlines Premium Economy was inferior to Air NZ and to a lesser extent Virgin Atlantic. Singapore Airlines Premium Economy is marginally superior to Economy class and vastly inferior to their Business Class. During the first hour of my flight from Singapore to London I made my concerns known to the senior cabin steward. He made a mental note but did nothing to show any reparation for the poor service except that he admonished his junior staff for serving wine in clear plastic beakers as opposed to the glass beakers provided alongside the plastic foil-topped water on the food tray. He explained that Singapore Airlines were relatively new to offering Premium Economy class. No welcoming drink, no menu in seating area, alcoholic beverages served in plastic cups, meals of appallingly poor standard, coffee disgustingly bitter, wines of a poor standard. Apparently champagne was available but it was not offered to passengers and I only became aware of it after a chance conversation with cabin staff while waiting to use the bathroom. Singapore Airlines offers very little in terms of Premium service in its Premium Economy cabin service. ",Couple Leisure,October 2016,SYD to HND via SIN,Premium Economy,5,5,1,3,1,1,no
space is paramount for my flying experience,James Roussell,2016-10-21,Singapore Airlines,False,"  I recently flew from Sydney to Tokyo via Singapore in economy class. This was my first time flying Singapore Airlines, and I had high expectations. I am tall, 6 foot 5 inches, so space is paramount for my flying experience to be comfortable. Sadly SQ lacks this. I had 4 different versions of the B777 on this trip, and I found the newer the aircraft, the less space there was between seats. Food was ok, and service was great. Cabins seemed unclean. If you're travelling in Economy, don't expect a great experience, as it seems SQ only cares for it top dollar paying business class passengers. Will stick to my usual choices of Qantas and Garuda Indonesia in the future.",Solo Leisure,October 2016,JFK to FRA,Economy Class,5,2,5,4,4,5,no
disappointed how this was handled,Petra Hublot,2016-10-19,Singapore Airlines,True,"  I had a delayed flight from Tampa (on JetBlue), scheduled initially at 4.30pm but delayed to 5.06pm in taking off at 5.35 pm to JFK with a connection flight to Frankfurt on Singapore Airlines at 8.55pm which I of course, missed by the time I got to the other Terminal and through security. I was stranded at JFK a bit after 9.00pm because at the counter at the gate was no one anymore and the tiny booth is only occupied a few hours at odd hours per day. So I called the 1-800 # on my booking confirmation and was told that they would put me on the very next flight at 8.55am, yes the person said am! But as all offices are closed now I will get a confirmation call once they open the next morning! Learned later that they are in San Francisco, 3 hours behind us. So I went back to the other Terminal to the help desk of JetBlue, which had the delayed plane - after more than an hour with several phone calls I finally got a room in an hotel for the night, I finally made it after midnight into my room. The next morning I rushed to the Airport only to learn that there is no am flight ! The flight is apparently daily at 8.55 pm. I couldn't believe what I was told on the phone. I already spent a short night without my luggage or personal belongings and fresh clothes and now I had to sit another 12 hours around. Once the booth from Singapore Airline was occupied at 2.55 pm I told them about my dilemma and he called his supervisor to find out if I could reschedule my flight back from FRA, Germany to JFK : instead of Oct. 03, 2016 to one or two days later because of my lost 24 hours here at the Airport. Nope, nothing to do, because I already have gotten an hotel room for the night ! Unbelievable, I would have slept in a corner at the Airport they would have rescheduled my flight back home?  I didn't even get to choose after this ordeal, really? It's a shame that the company is not more flexible or willing to do more for these kind of situations. I'm very disappointed how this was handled.",Solo Leisure,October 2016,SGN to MEL via SIN,Economy Class,3,3,4,4,4,7,yes
not a great deal of consistency,B Leeson,2016-10-18,Singapore Airlines,True," Ho Chi Minh city to Melbourne via Singapore with Singapore Airlines. Wow there really is - I discovered - not a great deal of consistency with SQ apart from the service routine. HCMC to Singapore I had the best meal on a flight ever. Tender pork in gravy with thin sliced fried potato and onion. Was so good. The entertainment was appalling in that the screen was too dark to even see, even with lighting altered and the screen tilted, blinds down. Anyway we got there safely and being just a 2 hr flight it was fine. Leaving Singapore on SQ 227 at 9.20pm. Full flight. Going through security at the gate itself. Boarded in sections but no one abided by that and they were not enforced which makes for a shambles. Paid for exit row seats. Nowhere to store anything. My husband tried to find an overhead locker but the lady in the aisle two seats down refused to share. Her carry on was horizontal in it and she had another small bag. Got upset when my husband tried to put her bag vertical. Was ignored by FAs. Found somewhere finally, but if you do go for the exit row you will be last off as you can't get back to where your bag is. Nowhere for my handbag. I got it stuffed under my own seat via the front. There was a baby in the infant seats but was really good, very attentive parents, I was impressed. Singapore has got the meal service wrong here too. At 9.20pm you are faced with a proper dinner which a snack would suffice as most have had dinner by then. Breakfast was a roll, muffin and a little bit of fruit. After having such a great experience on the initial trip I felt let down. Still quite good but I felt I could have been with any other airline. I wish there was more consistency. I would still opt for them though at least outbound.",Couple Leisure,October 2016,MEL to SIN,Economy Class,3,3,3,3,4,7,yes
